uwb_x	uwb_y	enc_x	enc_y	enc_t	gyro_x	gt_x	gt_y
2226	-1048	30951	-458	-382	0	0	0
2224	-1049	30951	-458	-382	-42.36	2186.89	-1020.29
2231	-1045	30951	-458	-382	-42.36	2187.21	-1019.82
2233	-1047	30951	-458	-382	-42.36	2186.75	-1019.16
2243	-1053	30951	-458	-382	-42.36	2186.88	-1019.86
2248	-1052	30951	-458	-382	-42.36	2186.74	-1019.87
2240	-1053	30951	-458	-382	-42.36	2187.65	-1020.02
2232	-1050	30951	-458	-382	-42.36	2186.83	-1020.47
2237	-1048	30951	-458	-382	-42.36	2186.47	-1020.56
2237	-1049	30951	-458	-382	-42.36	2186.46	-1019.81
2242	-1059	30951	-458	-382	-43.07	2186.6	-1019.15
2229	-1060	30951	-458	-382	-43.51	2186.72	-1021.76
2227	-1065	30953	-459	-383	-44.01	2185.76	-1022.09
2218	-1061	30957	-459	-383	-44.85	2185.5	-1023.16
2200	-1056	30969	-460	-383	-46.56	2185.8	-1021.08
2208	-1036	30993	-462	-384	-47.7	2186.43	-1019.22
2185	-1044	31035	-466	-385	-47.31	2186.16	-1018.51
2166	-1042	31083	-468	-386	-46.77	2179.11	-1015.61
2151	-1027	31127	-469	-386	-47.16	2169.71	-1014.76
2104	-1022	31176	-467	-385	-47.26	2139.88	-1001.59
2072	-1014	31223	-467	-385	-47.22	2121.22	-992.622
2034	-1008	31272	-467	-385	-47.13	2071.87	-972.996
2009	-990	31322	-467	-385	-47.1	2043.27	-967.881
1975	-970	31373	-467	-385	-47.15	1985.99	-951.697
1929	-967	31420	-467	-385	-47.18	1958.16	-941.174
1885	-947	31466	-467	-385	-47.71	1900.04	-924.551
1852	-928	31511	-467	-385	-47.61	1870.97	-912.954
1801	-916	31559	-468	-386	-47.6	1811.85	-894.44
1757	-900	31609	-468	-386	-47.76	1783.74	-884.709
1717	-884	31660	-468	-386	-48	1728.92	-868.535
1679	-864	31711	-468	-386	-47.85	1702.26	-859.299
1637	-854	31759	-469	-386	-47.4	1640.97	-835.565
1602	-834	31808	-469	-386	-47.5	1609.07	-824.115
1564	-819	31856	-468	-386	-48.06	1578.87	-814.344
1516	-814	31906	-468	-386	-48.05	1518.07	-791.326
1469	-799	31955	-469	-386	-48.07	1489.89	-781.31
1423	-787	32001	-469	-386	-47.62	1429.52	-758.496
1375	-770	32047	-469	-386	-47.05	1399.99	-748.418
1318	-768	32101	-468	-386	-47.42	1337.46	-726.367
1293	-751	32141	-466	-385	-47.62	1305.65	-718.082
1261	-742	32164	-467	-385	-47.52	1246.84	-698.39
1233	-729	32171	-467	-385	-48.2	1219.01	-688.28
1219	-726	32166	-467	-385	-51.29	1164.08	-672.967
1201	-736	32163	-466	-386	-56.87	1137.92	-664.18
1187	-723	32162	-468	-388	-62.75	1118.2	-661.82
1146	-714	32163	-466	-394	-68.14	1120.18	-659.927
1117	-719	32162	-466	-400	-73.46	1122.17	-655.234
1102	-712	32163	-466	-405	-78.82	1122.26	-658.417
1075	-711	32163	-467	-410	-83.67	1121.05	-653.167
1053	-724	32164	-467	-416	-89.64	1121.42	-648.431
1049	-742	32164	-467	-421	-95.49	1117.18	-651.303
1049	-755	32165	-468	-427	-99.77	1115.29	-653.191
1060	-778	32166	-466	-432	-103.24	1114.35	-655.203
1066	-799	32165	-467	-438	-103.21	1112.54	-660.896
1069	-817	32168	-468	-441	-103.2	1109.77	-665.127
1068	-824	32169	-468	-441	-103.33	1106.34	-672.218
1062	-828	32169	-468	-441	-103.26	1103.69	-671.724
1068	-833	32169	-468	-441	-103.9	1101.68	-673.63
1072	-840	32169	-468	-441	-105.32	1102.41	-673.872
1069	-849	32170	-468	-442	-106.51	1102.61	-675.373
1078	-851	32175	-471	-443	-109.44	1097.85	-680.944
1078	-838	32187	-475	-444	-112.31	1101.03	-681.513
1082	-828	32214	-484	-447	-112.33	1102.66	-674.732
1087	-811	32257	-490	-448	-111.18	1105	-667.139
1072	-768	32297	-493	-449	-111.44	1108.02	-651.202
1067	-742	32347	-490	-448	-112.02	1107.82	-626.625
1048	-695	32394	-489	-448	-111.9	1112.63	-589.06
1044	-642	32442	-490	-448	-112.3	1108.96	-558.231
1022	-577	32488	-490	-448	-112.55	1099.51	-499.765
1012	-522	32535	-492	-449	-113.24	1089.13	-464.072
1006	-467	32581	-492	-449	-113.6	1081.03	-402.32
997	-422	32629	-493	-449	-113.3	1081.99	-369.355
990	-369	32676	-495	-450	-113.32	1074.49	-308.776
981	-339	32726	-494	-449	-113.81	1072.04	-273.625
980	-310	32777	-494	-449	-114.18	1064.33	-215.898
971	-260	32825	-495	-450	-113.97	1061.45	-185.124
953	-208	32873	-496	-450	-113.58	1055.1	-123.855
951	-165	32922	-496	-450	-113.75	1051.96	-87.8109
938	-114	32971	-495	-450	-114.3	1047.8	-26.6999
947	-58	33018	-494	-450	-113.87	1043.2	8.82265
934	1	33065	-496	-450	-114.45	1041.96	70.81
922	46	33113	-494	-449	-114.4	1038.13	106.898
902	88	33161	-495	-450	-114.84	1035.21	143.753
895	128	33211	-495	-450	-114.72	1024.55	204.583
887	172	33260	-496	-450	-114.97	1021.03	235.822
876	205	33309	-496	-450	-115.04	1013.68	300.43
855	258	33357	-497	-450	-115.43	1010.38	332.264
836	303	33407	-498	-450	-115.95	1007.38	355.904
815	346	33455	-498	-451	-115.99	991.768	428.741
814	397	33503	-499	-451	-116.08	983.332	460.838
838	442	33549	-499	-451	-116.66	982.979	524.652
835	493	33594	-499	-451	-116.5	990.542	557.064
844	556	33641	-501	-451	-116.48	988.371	590.8
847	609	33691	-501	-451	-116.78	989.614	682.319
845	656	33743	-500	-451	-117	990.23	714.076
844	714	33791	-501	-451	-116.9	987.774	774.097
835	753	33838	-501	-452	-116.85	986.355	809.259
853	796	33883	-501	-452	-116.95	981.309	844.312
880	838	33933	-501	-452	-117.46	987.793	910.859
885	877	33984	-501	-452	-117.54	994.194	941.849
897	912	34033	-502	-452	-117.54	992.286	1001.67
892	954	34082	-502	-452	-117.32	995.578	1032.37
892	995	34132	-502	-452	-117.41	995.494	1096.36
887	1040	34181	-501	-452	-117.57	993.54	1131.39
864	1090	34231	-502	-452	-117.63	990.32	1194.09
878	1121	34281	-502	-452	-118.02	984.534	1227.92
875	1168	34331	-502	-452	-117.93	989.741	1260.28
877	1230	34379	-503	-452	-118.32	986.391	1338.54
859	1275	34429	-503	-452	-118.48	987.357	1387.14
841	1318	34477	-504	-452	-118.84	981.526	1445.86
832	1370	34527	-503	-452	-118.79	975.282	1483.41
832	1421	34527	-503	-452	-118.37	970.658	1541.61
828	1468	34625	-504	-452	-118.41	971.827	1582.16
821	1518	34721	-503	-452	-118.38	970.213	1640.37
824	1559	34721	-503	-452	-118.33	968.813	1682.6
831	1606	34745	-503	-452	-118.39	969.54	1718.68
833	1636	34754	-502	-452	-118.43	972.372	1777.69
836	1652	34750	-502	-452	-119.07	973.398	1808.84
828	1660	34748	-503	-452	-122.97	970.135	1841.9
814	1678	34747	-503	-453	-129.35	966.086	1850.29
811	1673	34745	-504	-456	-135.25	965.05	1861.5
806	1684	34747	-503	-462	-139.8	962.31	1855.36
796	1696	34748	-503	-467	-145.22	961.735	1863.43
786	1706	34748	-502	-473	-150.89	956.822	1870.75
767	1702	34748	-502	-478	-156.4	953.469	1875.46
755	1721	34747	-503	-483	-162	939.933	1881.71
746	1738	34748	-503	-489	-167.19	929.055	1894.38
744	1767	34748	-504	-494	-172.23	928.491	1907.06
715	1700	34747	-503	-500	-178.56	930.083	1914.86
687	1722	34747	-503	-505	176.28	923.33	1886.74
698	1730	34748	-503	-511	171.21	907.718	1901.35
666	1710	34748	-503	-511	165.54	918.366	1897.1
676	1750	34748	-503	-522	161.21	900.21	1869.45
668	1739	34748	-504	-528	160.99	904.205	1895.69
647	1745	34748	-503	-531	161.29	898.982	1885.03
631	1741	34749	-502	-532	161.22	886.731	1889.5
635	1750	34749	-502	-532	160.6	878.038	1903.8
632	1810	34749	-502	-532	158.71	883.031	1908.42
624	1784	34749	-502	-533	157.26	883.514	1927.3
745	1780	34754	-504	-534	155.69	878.384	1922.9
796	1762	34763	-508	-535	153.14	949.045	1882.87
807	1770	34782	-515	-537	153.77	978.708	1876.14
856	1767	34816	-524	-540	155.25	981.018	1879.42
883	1772	34858	-525	-540	154.47	999.38	1875.83
907	1766	34908	-523	-540	154.15	1013.06	1869.8
940	1776	34957	-524	-540	153.99	1028.69	1866.79
984	1773	35009	-524	-540	153.83	1066	1866.26
1019	1794	35058	-524	-540	153.8	1095.28	1866.71
1064	1784	35105	-524	-540	153.73	1149.73	1880.72
1119	1777	35151	-524	-540	154.13	1183.49	1880.2
1123	1759	35196	-525	-540	153.58	1247.23	1878.29
