uwb_x	uwb_y	enc_x	enc_y	enc_t	gyro_x	gt_x	gt_y
1711	-1051	60118	-729	-529	168.32	1885.29	-1024.85
1729	-1064	60119	-730	-524	173.65	1918.94	-1034.3
1748	-1068	60119	-729	-518	178.52	1935.17	-1039.03
1760	-1088	60120	-729	-513	-175.62	1947.42	-1045.16
1777	-1116	60120	-729	-507	-169.99	1955.41	-1048.21
1789	-1129	60120	-729	-502	-164.97	1956.24	-1043.5
1822	-1125	60120	-729	-497	-160.17	1968.9	-1045.32
1853	-1145	60120	-730	-491	-154.01	1982.67	-1042.68
1848	-1116	60121	-730	-486	-149.07	1982.5	-1041.94
1840	-1131	60121	-730	-481	-143.37	1987.9	-1035.99
1807	-1153	60121	-730	-475	-138.59	1985.38	-1037.58
1784	-1167	60121	-730	-470	-134.94	1969.99	-1033.62
1861	-1176	60127	-728	-465	-132.41	1952.95	-1034.38
1903	-1194	60138	-724	-461	-128.82	1982.9	-1040.68
1920	-1199	60158	-717	-459	-127.98	1993.85	-1048.17
1922	-1191	60194	-707	-456	-129.44	1993.93	-1050.58
1936	-1169	60228	-700	-455	-128.87	1990.39	-1049.63
1934	-1138	60276	-701	-455	-128.32	1992.61	-1033.24
1946	-1105	60322	-701	-455	-128.91	1989.09	-1017.47
1953	-1056	60371	-700	-455	-128.85	1980.8	-979.672
1954	-1003	60422	-700	-455	-129.05	1985.86	-956.704
1951	-957	60472	-700	-455	-129.31	2004.77	-890.365
1964	-911	60521	-700	-455	-129.36	2011.13	-843.436
1973	-869	60569	-702	-455	-129.76	2018.52	-811.901
1990	-834	60614	-702	-455	-129.45	2033.55	-750.795
1991	-784	60661	-703	-456	-129.34	2043.16	-720.977
1993	-744	60712	-703	-456	-129.5	2049.54	-689.135
1988	-704	60763	-703	-456	-129.36	2059.42	-629.977
1976	-674	60811	-703	-456	-129.21	2063.39	-599.43
1961	-639	60857	-702	-456	-128.7	2068.92	-572.342
1958	-591	60903	-701	-455	-128.42	2073.6	-482.727
1957	-554	60950	-700	-455	-129.05	2079.52	-443.935
1969	-504	60998	-699	-455	-128.61	2080.61	-425.445
2005	-463	61047	-700	-455	-128.13	2090.24	-354.637
2006	-411	61095	-699	-455	-128.95	2105.97	-323.092
2018	-360	61143	-698	-455	-129.17	2113.51	-263.907
2041	-311	61191	-700	-455	-129.16	2119.95	-228.364
2038	-266	61238	-701	-455	-129.09	2135.46	-167.471
2069	-222	61285	-701	-455	-129.55	2139.35	-132.24
2080	-191	61330	-701	-455	-129.76	2153.93	-75.5012
2094	-163	61377	-702	-456	-129.47	2161.15	-44.5119
2063	-124	61425	-704	-456	-129.63	2171.52	4.00046
2067	-88	61475	-703	-456	-129.65	2170.59	53.193
2079	-39	61522	-703	-456	-129.74	2176.63	86.2902
2093	13	61567	-703	-456	-129.79	2191.72	139.399
2116	67	61612	-703	-456	-129.79	2200.83	184.485
2104	117	61657	-703	-456	-129.83	2204.23	194.51
2104	163	61701	-703	-456	-129.79	2216.72	283.916
2102	196	61746	-703	-456	-129.65	2221.86	322.354
2099	239	61791	-703	-456	-129.71	2229.09	367.891
